Cities,Country,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
baykit,RU,61.67,96.37,98,47,61.93,11.41
bilma,NE,18.69,12.92,0,36,89.15,8.95
beloha,MG,-25.17,45.05,0,35,83.79,5.84
tateyama,JP,34.98,139.87,75,78,81.0,11.41
copiapo,CL,-27.37,-70.33,0,87,51.8,0.6
kamenskoye, ,0.0,0.0,0,0,0.0,0.0
duzici, ,0.0,0.0,0,0,0.0,0.0
progreso,MX,21.28,-89.67,100,92,78.01,5.75
nouadhibou,MR,20.93,-17.03,10,77,76.24,20.29
shenjiamen,CN,29.96,122.3,90,85,80.4,9.44
kingsville,US,27.52,-97.86,90,88,77.0,5.03
namibe,AO,-15.2,12.15,0,64,63.91,1.3
harper,LR,4.38,-7.72,100,90,74.59,12.37
ascension,US,30.22,-90.9,1,83,75.99,5.82
selishche,RU,56.89,33.27,100,96,59.41,9.84
aschersleben,DE,51.75,11.47,48,75,55.0,7.0
anaconda,US,46.13,-112.94,1,37,51.8,6.93
buala,SB,-8.14,159.59,100,78,83.66,13.13
oranjemund,NA,-28.55,16.43,0,70,55.8,8.81
mahebourg,MU,-20.41,57.7,75,68,71.6,17.22
bolobo,CD,-2.17,16.23,94,90,73.71,2.06
saleaula, ,0.0,0.0,0,0,0.0,0.0
lolua, ,0.0,0.0,0,0,0.0,0.0
port hedland,AU,-20.32,118.57,0,21,95.0,18.34
abu zabad,SD,12.35,29.25,59,63,81.43,5.77
north bend,US,43.41,-124.22,90,100,66.99,2.51
ambon,ID,-3.7,128.18,68,77,80.62,6.58
sabzevar,IR,36.21,57.68,0,38,73.4,16.11
tilichiki,RU,60.47,166.1,69,79,48.51,5.75
christchurch,NZ,-43.53,172.63,65,42,64.4,17.22
palana,RU,59.12,159.97,99,71,45.34,4.81
puerto leguizamo,CO,-0.19,-74.78,74,86,72.64,1.5
mathathane,BW,-22.27,28.75,42,50,75.24,14.7
yagodnoye,RU,62.55,149.67,92,57,45.21,3.85
doha,QA,25.29,51.53,0,56,96.8,4.7
wajima,JP,37.4,136.9,75,69,80.6,10.29
gravdal,NO,68.12,13.5,75,100,42.8,4.7
guane,CU,22.2,-84.09,98,86,79.05,3.85
constitucion,CL,-35.33,-72.42,36,85,52.5,10.54
cabedelo,BR,-6.98,-34.83,20,94,71.6,8.05
kyzyl-mazhalyk,RU,51.13,90.6,9,34,67.15,3.04
forbes,AU,-33.38,148.02,94,51,82.0,8.01
dingle,PH,11.0,122.67,100,85,80.8,4.97
araouane,ML,18.9,-3.53,0,14,90.3,13.06
la baule-escoublac,FR,47.29,-2.36,0,93,62.6,10.29
hirara,JP,24.8,125.28,75,70,87.8,13.87
ilhabela,BR,-23.78,-45.36,28,83,70.48,2.37
wajir,KE,1.75,40.06,8,56,80.15,15.32
puerto madero,MX,14.72,-92.42,97,84,80.42,4.94
quimper,FR,48.0,-4.1,0,93,62.6,9.17
sigli,ID,5.38,95.96,100,51,88.57,2.66
eydhafushi,MV,5.1,73.07,44,74,82.89,9.33
maniitsoq,GL,65.42,-52.9,100,76,38.26,8.75
sinnamary,GF,5.38,-52.95,64,88,77.83,10.18
poya,NC,-21.35,165.15,81,71,73.85,7.83
meulaboh,ID,4.14,96.13,66,57,86.94,4.61
gafanha da encarnacao,PT,40.62,-8.73,89,90,66.0,6.53
castrolibero,IT,39.31,16.19,52,88,69.8,5.82
manjakandriana,MG,-18.92,47.8,75,59,60.8,4.7
lyubotyn,UA,49.95,35.97,12,63,60.8,6.71
tautira,PF,-17.73,-149.15,20,78,78.8,2.24
atikokan,CA,48.76,-91.62,0,85,33.78,4.54
ossora,RU,59.24,163.07,28,67,50.16,4.14
punta de bombon,PE,-17.17,-71.79,96,84,60.19,7.54
pingyin,CN,36.28,116.45,66,28,79.18,7.99
visnes,NO,59.36,5.22,77,76,57.0,13.87
san luis,AR,-33.3,-66.34,0,33,58.93,8.97
