Cities,Country,Latitude,Longitude,Cloudiness,Date,Humidity,Max Temperature,Wind Speed
anda,CN,46.4,125.32,100, ,84,54.32,15.9
samusu, ,0.0,0.0,0, ,0,0.0,0.0
chumikan,RU,54.72,135.31,100, ,85,52.7,9.66
kholmogory,RU,64.22,41.66,75, ,87,42.8,4.47
semey,KZ,50.41,80.23,100, ,33,60.55,3.69
kieta,PG,-6.22,155.63,96, ,80,81.07,5.93
zhezkazgan,KZ,47.8,67.71,0, ,72,48.13,13.29
porto novo,BJ,6.5,2.6,40, ,88,78.8,11.41
gravdal,NO,68.12,13.5,75, ,81,42.8,2.24
senanga,ZM,-16.12,23.27,7, ,36,73.74,3.27
morena,IN,26.5,78.0,40, ,83,82.4,2.24
collie,AU,-33.37,116.15,4, ,63,48.99,8.41
burnie,AU,-41.07,145.92,100, ,72,46.0,11.99
miechow,PL,50.36,20.03,94, ,82,70.0,2.24
lagoa,PT,39.05,-27.98,100, ,71,66.22,17.58
vostok,RU,46.49,135.88,100, ,99,54.63,1.5
xuddur,SO,4.12,43.89,0, ,70,74.46,17.81
grand centre, ,0.0,0.0,0, ,0,0.0,0.0
baykit,RU,61.67,96.37,2, ,85,46.71,4.52
dalbandin,PK,28.89,64.41,0, ,20,69.69,1.07
martinsburg,US,39.46,-77.96,1, ,53,73.0,8.05
alice springs,AU,-23.7,133.88,54, ,20,77.0,11.41
chemainus,CA,48.92,-123.72,75, ,68,71.6,5.82
carnduff,CA,49.17,-101.8,0, ,48,57.0,7.0
la ronge,CA,55.1,-105.28,75, ,41,42.8,8.05
huilong,CN,31.81,121.66,100, ,96,77.0,4.27
tazovskiy,RU,67.47,78.7,2, ,91,46.69,11.39
vaitupu, ,0.0,0.0,0, ,0,0.0,0.0
tonj,SS,7.27,28.68,100, ,86,73.51,0.27
alta,NO,69.97,23.27,75, ,70,46.4,17.22
kinna,SE,57.51,12.69,0, ,61,48.99,11.41
arica,CL,-18.48,-70.3,4, ,68,64.99,17.22
greeneville,US,36.16,-82.83,1, ,47,81.0,6.93
ati,TD,13.22,18.34,0, ,49,87.76,6.24
pemberton,CA,50.32,-122.8,90, ,68,68.0,2.24
cordoba,AR,-31.41,-64.18,22, ,22,80.01,5.82
ishigaki,JP,24.34,124.16,71, ,81,84.15,12.75
santa helena,BR,-2.23,-45.3,12, ,65,82.6,4.09
simbahan,PH,6.3,120.58,100, ,90,77.16,23.64
sept-iles,CA,50.2,-66.38,90, ,100,45.0,11.41
rawson,AR,-43.3,-65.1,100, ,32,64.58,28.48
shubarkuduk,KZ,49.14,56.49,45, ,68,48.47,18.28
tay ninh,VN,11.3,106.1,100, ,87,78.73,6.69
hanchuan,CN,30.65,113.77,100, ,94,68.0,6.71
ulladulla,AU,-35.35,150.47,31, ,72,59.0,4.7
stabat,ID,3.76,98.45,90, ,92,73.67,2.68
la rioja,ES,42.25,-2.5,100, ,50,75.2,4.23
svetlaya,RU,46.54,138.33,100, ,91,60.39,7.54
mingshui,CN,36.72,117.5,21, ,59,70.0,1.68
ngunguru,NZ,-35.62,174.5,1, ,3,53.01,3.0
kinablangan,PH,7.69,126.55,93, ,83,76.73,4.56
porbandar,IN,21.64,69.61,100, ,81,81.77,10.02
tabiauea, ,0.0,0.0,0, ,0,0.0,0.0
myitkyina,MM,25.38,97.4,100, ,96,73.49,1.34
wagrowiec,PL,52.81,17.2,31, ,72,69.01,4.0
lujiang,CN,31.26,117.28,90, ,94,69.8,6.71
barawe, ,0.0,0.0,0, ,0,0.0,0.0
dingle,PH,11.0,122.67,100, ,93,76.06,8.57
aquiraz,BR,-3.9,-38.39,20, ,74,80.6,14.99
nuuk,GL,64.18,-51.72,75, ,93,39.2,14.99
ustye,RU,59.63,39.74,86, ,86,43.74,7.67
gurgan, ,0.0,0.0,0, ,0,0.0,0.0
vao,NC,-22.67,167.48,67, ,79,68.85,25.9
santiago del estero,AR,-27.8,-64.26,0, ,24,82.27,9.55
poum,NC,-20.23,164.02,24, ,76,71.91,10.63
kamenskoye, ,0.0,0.0,0, ,0,0.0,0.0
wanning,CN,18.8,110.4,56, ,89,78.4,7.58
plerin,FR,48.54,-2.78,49, ,93,64.0,4.7
ust-tsilma,RU,65.44,52.15,100, ,79,42.91,5.93
ocala,US,29.19,-82.14,40, ,59,89.6,8.05
maragogi,BR,-9.01,-35.22,21, ,79,73.71,10.27
borovoy,RU,55.43,86.08,40, ,87,55.4,4.47
odry,CZ,49.66,17.83,93, ,82,66.2,4.7
yei,SS,4.09,30.68,50, ,94,67.59,2.04
pirai,BR,-22.63,-43.9,0, ,61,84.2,6.93
abha,SA,18.22,42.51,66, ,77,71.6,3.94
herouville-saint-clair,FR,49.21,-0.31,31, ,88,64.4,8.05
saint george,US,37.1,-113.58,1, ,11,96.01,3.62
xai-xai,MZ,-25.05,33.64,27, ,85,72.07,10.42
hurghada,EG,27.26,33.81,0, ,49,89.6,12.75
svetlyy,RU,54.67,20.13,86, ,88,62.6,8.95
puri,IN,19.8,85.85,40, ,94,82.4,4.7
naze,JP,28.37,129.48,20, ,94,80.6,6.93
del rio,US,29.36,-100.9,75, ,43,91.4,3.36
grand-santi,GF,4.25,-54.38,100, ,66,84.22,1.28
jardim,BR,-21.48,-56.14,0, ,22,93.04,3.06
tual,ID,-5.67,132.75,96, ,85,79.36,16.71
pasighat,IN,28.07,95.33,100, ,88,75.24,2.19
sentyabrskiy, ,0.0,0.0,0, ,0,0.0,0.0
wakkanai,JP,45.41,141.67,100, ,89,64.98,7.81
zemio,CF,5.03,25.14,43, ,91,70.7,1.5
inongo,CD,-1.95,18.27,100, ,88,72.43,4.07
asaba,NG,6.2,6.73,100, ,94,74.21,5.79
korhogo,CI,9.45,-5.63,96, ,92,72.14,1.52
karuzi,BI,-3.12,30.13,54, ,54,66.31,2.1
tolmin,SI,46.18,13.73,42, ,65,69.01,1.99
basco,PH,20.45,121.97,50, ,79,84.97,21.23
virginia beach,US,36.85,-75.98,75, ,61,78.8,8.05
kharp,RU,66.8,65.81,100, ,81,49.15,7.07
